Population_ID,Dose,Infection_Status,Total_Exposed,Growth_Rate,Observed,Avg_Prop_Inf,LD50
IL-1,0.1,72,90,0.647,0.8,0.297379848,0.05125
IL-1,0.01,22,54,0.647,0.407407407,0.297379848,0.05125
IL-1,0.001,12,57,0.647,0.210526316,0.297379848,0.05125
IL-1,1e-04,4,58,0.647,0.068965517,0.297379848,0.05125
IL-1,1e-06,0,23,0.647,0,0.297379848,0.05125
IL-2,0.1,40,71,0.5711,0.563380282,0.252069996,0.07735
IL-2,0.01,40,66,0.5711,0.606060606,0.252069996,0.07735
IL-2,0.001,4,44,0.5711,0.090909091,0.252069996,0.07735
IL-2,1e-04,0,64,0.5711,0,0.252069996,0.07735
IL-2,1e-06,0,16,0.5711,0,0.252069996,0.07735
IL-4,0.1,44,57,0.6573,0.771929825,0.331200953,0.04574
IL-4,0.01,44,56,0.6573,0.785714286,0.331200953,0.04574
IL-4,0.001,6,61,0.6573,0.098360656,0.331200953,0.04574
IL-4,1e-04,0,68,0.6573,0,0.331200953,0.04574
IL-4,1e-06,0,18,0.6573,0,0.331200953,0.04574
IL-7,0.1,38,71,0.6237,0.535211268,0.258491529,0.08253
IL-7,0.01,42,72,0.6237,0.583333333,0.258491529,0.08253
IL-7,0.001,12,69,0.6237,0.173913043,0.258491529,0.08253
IL-7,1e-04,0,70,0.6237,0,0.258491529,0.08253
IL-7,1e-06,0,24,0.6237,0,0.258491529,0.08253
IL-9,0.1,37,50,0.5644,0.74,0.306831809,0.05294
IL-9,0.01,33,49,0.5644,0.673469388,0.306831809,0.05294
IL-9,0.001,7,58,0.5644,0.120689655,0.306831809,0.05294
IL-9,1e-04,0,56,0.5644,0,0.306831809,0.05294
IL-9,1e-06,0,21,0.5644,0,0.306831809,0.05294
IL-10,0.1,45,64,0.6287,0.703125,0.268532148,0.06467
IL-10,0.01,22,40,0.6287,0.55,0.268532148,0.06467
IL-10,0.001,4,59,0.6287,0.06779661,0.268532148,0.06467
IL-10,1e-04,1,46,0.6287,0.02173913,0.268532148,0.06467
IL-10,1e-06,0,20,0.6287,0,0.268532148,0.06467
IL-14,0.1,43,59,0.5385,0.728813559,0.243976998,0.06331
IL-14,0.01,27,63,0.5385,0.428571429,0.243976998,0.06331
IL-14,0.001,4,64,0.5385,0.0625,0.243976998,0.06331
IL-14,1e-04,0,67,0.5385,0,0.243976998,0.06331
IL-14,1e-06,0,22,0.5385,0,0.243976998,0.06331
IL-17,0.1,37,58,0.6587,0.637931034,0.207586207,0.07699
IL-17,0.01,20,50,0.6587,0.4,0.207586207,0.07699
IL-17,0.001,0,49,0.6587,0,0.207586207,0.07699
IL-17,1e-04,0,58,0.6587,0,0.207586207,0.07699
IL-17,1e-06,0,19,0.6587,0,0.207586207,0.07699
IL-19,0.1,40,51,0.5741,0.784313725,0.27725445,0.05316
IL-19,0.01,31,56,0.5741,0.553571429,0.27725445,0.05316
IL-19,0.001,3,62,0.5741,0.048387097,0.27725445,0.05316
IL-19,1e-04,0,54,0.5741,0,0.27725445,0.05316
IL-19,1e-06,0,23,0.5741,0,0.27725445,0.05316
IL-24,0.1,25,43,0.5588,0.581395349,0.204890181,0.08315
IL-24,0.01,17,48,0.5588,0.354166667,0.204890181,0.08315
IL-24,0.001,4,45,0.5588,0.088888889,0.204890181,0.08315
IL-24,1e-04,0,64,0.5588,0,0.204890181,0.08315
IL-24,1e-06,0,15,0.5588,0,0.204890181,0.08315
IL-29,0.1,48,62,0.5106,0.774193548,0.28237843,0.0536
IL-29,0.01,33,67,0.5106,0.492537313,0.28237843,0.0536
IL-29,0.001,9,62,0.5106,0.14516129,0.28237843,0.0536
IL-29,1e-04,0,73,0.5106,0,0.28237843,0.0536
IL-29,1e-06,0,23,0.5106,0,0.28237843,0.0536
IL-36,0.1,32,44,0.5306,0.727272727,0.241532977,0.06321
IL-36,0.01,16,48,0.5306,0.333333333,0.241532977,0.06321
IL-36,0.001,5,34,0.5306,0.147058824,0.241532977,0.06321
IL-36,1e-04,0,38,0.5306,0,0.241532977,0.06321
IL-36,1e-06,0,13,0.5306,0,0.241532977,0.06321
Stock,0.1,60,82,0.6345,0.731707317,0.312969728,0.05515
Stock,0.01,39,56,0.6345,0.696428571,0.312969728,0.05515
Stock,0.001,7,62,0.6345,0.112903226,0.312969728,0.05515
Stock,1e-04,2,84,0.6345,0.023809524,0.312969728,0.05515
Stock,1e-06,0,20,0.6345,0,0.312969728,0.05515